game_num,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C6,C7,C8,D1,D2,D3,D4,A25,A26,A27,A28,A29,A30,A31,A32
37,1.971,5.616,4.189,1.529,1.452,1.89,3.305,6.78,4.031,5.329,1.738,3.426,2.22,3.9,0.883,5.948,3.519,3.24,2.064,2.374,2.629,4.289,2.296,6.808,0.358,0.919,0.915,3.786,-2.016,-0.434,0.505,-3.247
38,4.971,3.616,5.189,2.529,4.452,5.89,2.305,-0.22,0.031,0.329,2.738,2.426,0.22,3.9,-0.117,-0.052,-0.481,-0.76,4.064,0.374,3.629,-0.711,4.296,-0.192,2.358,4.919,-0.085,3.786,1.984,-0.434,-1.495,-0.247
39,4.971,2.616,4.189,2.529,3.452,5.89,2.305,0.78,0.031,0.329,0.738,1.426,1.22,3.9,0.883,0.948,0.519,0.24,4.064,1.374,4.629,5.289,4.296,2.808,0.358,-0.081,0.915,0.786,0.984,0.566,-1.495,-3.247
40,3.971,3.616,3.189,2.529,5.452,3.89,4.305,1.78,1.031,2.329,0.738,3.426,3.22,2.9,0.883,1.948,2.519,4.24,3.064,1.374,2.629,0.289,4.296,1.808,-0.642,0.919,0.915,2.786,0.984,1.566,-2.495,-3.247
41,3.971,3.616,5.189,1.529,3.452,3.89,2.305,1.78,2.031,1.329,0.738,2.426,1.22,5.9,1.883,1.948,0.519,1.24,4.064,1.374,2.629,1.289,4.296,1.808,0.358,3.919,0.915,1.786,0.984,0.566,-1.495,-3.247
42,0.971,5.616,3.189,1.529,0.452,0.89,3.305,4.78,2.031,3.329,1.738,3.426,4.22,3.9,1.883,4.948,4.519,5.24,2.064,3.374,1.629,3.289,2.296,4.808,-0.642,-0.081,0.915,2.786,-2.016,-0.434,-1.495,-3.247
43,1.971,4.616,1.189,5.529,2.452,2.89,4.305,3.78,0.031,2.329,0.738,2.426,2.22,1.9,0.883,2.948,3.519,1.24,2.064,2.374,1.629,1.289,2.296,2.808,-0.642,-0.081,0.915,2.786,-0.016,2.566,-2.495,-3.247
44,2.971,3.616,4.189,2.529,2.452,3.89,2.305,4.78,2.031,3.329,0.738,2.426,1.22,2.9,0.883,3.948,2.519,1.24,3.064,1.374,2.629,5.289,3.296,5.808,0.358,0.919,0.915,1.786,-1.016,-0.434,-0.495,-3.247
45,0.971,4.616,5.189,2.529,1.452,2.89,4.305,2.78,5.031,1.329,1.738,4.426,1.22,3.9,1.883,1.948,1.519,0.24,2.064,6.374,4.629,2.289,2.296,3.808,7.358,2.919,1.915,3.786,-0.016,0.566,2.505,-3.247
46,3.971,2.616,6.189,1.529,3.452,3.89,4.305,-1.22,2.031,-1.671,3.738,4.426,-0.78,3.9,-0.117,-1.052,-0.481,-0.76,3.064,0.374,1.629,-0.711,3.296,-1.192,0.358,7.919,-0.085,4.786,1.984,1.566,0.505,3.753
47,3.971,3.616,4.189,2.529,2.452,3.89,2.305,3.78,3.031,1.329,0.738,2.426,1.22,2.9,0.883,2.948,1.519,1.24,4.064,1.374,3.629,7.289,3.296,3.808,0.358,0.919,0.915,1.786,-0.016,-0.434,-0.495,-3.247
48,2.971,4.616,1.189,4.529,5.452,1.89,4.305,2.78,1.031,2.329,1.738,3.426,3.22,1.9,0.883,1.948,3.519,3.24,2.064,1.374,1.629,0.289,3.296,1.808,-0.642,0.919,0.915,2.786,-0.016,2.566,-2.495,-0.247
49,4.971,3.616,2.189,1.529,3.452,4.89,2.305,0.78,0.031,0.329,-0.262,1.426,1.22,3.9,4.883,1.948,0.519,0.24,4.064,0.374,1.629,1.289,1.296,1.808,-0.642,-0.081,2.915,0.786,0.984,-0.434,-2.495,-3.247
50,6.998,2.762,1.255,1.597,3.474,4.933,1.419,-0.025,0.16,0.489,-0.23,1.532,1.31,6.001,1.931,1.115,-0.368,0.341,5.106,0.463,1.693,-0.644,2.357,-0.018,-0.609,-0.066,0.896,0.887,0.923,-0.429,-3.475,-3.343
51,2.971,3.616,2.189,2.529,2.452,3.89,2.305,5.78,4.031,7.329,-0.262,0.426,3.22,3.9,-0.117,5.948,5.519,0.24,4.064,1.374,2.629,1.289,3.296,4.808,1.358,-0.081,0.915,1.786,-1.016,-0.434,-0.495,-3.247
52,2.971,4.616,2.189,2.529,2.452,3.89,2.305,3.78,7.031,1.329,0.738,1.426,3.22,4.9,-0.117,1.948,1.519,6.24,4.064,1.374,1.629,0.289,3.296,3.808,3.358,0.919,1.915,2.786,-2.016,0.566,3.505,-3.247
53,3.971,3.616,2.189,2.529,2.452,3.89,2.305,5.78,1.031,3.329,6.738,1.426,2.22,2.9,-0.117,2.948,1.519,2.24,3.064,1.374,2.629,3.289,2.296,3.808,-0.642,0.919,0.915,2.786,-1.016,-0.434,-1.495,0.753
54,4.963,3.572,4.168,3.508,3.445,4.877,2.27,-0.28,-0.009,-0.72,2.728,0.393,0.193,4.868,0.869,-0.103,-0.516,1.208,4.051,0.346,2.609,-0.732,4.277,-1.246,-0.653,0.914,0.92,2.755,1.003,0.565,-0.501,-0.217
55,3.971,3.616,3.189,2.529,2.452,3.89,2.305,0.78,1.031,0.329,3.738,1.426,2.22,4.9,0.883,-0.052,-0.481,0.24,4.064,0.374,2.629,-0.711,3.296,-0.192,-0.642,0.919,0.915,2.786,0.984,0.566,-1.495,1.753
56,3.971,3.616,0.189,5.529,5.452,3.89,2.305,-0.22,0.031,3.329,-0.262,1.426,0.22,1.9,1.883,-0.052,-0.481,0.24,4.064,3.374,1.629,-0.711,4.296,-0.192,-0.642,-0.081,0.915,1.786,0.984,0.566,-2.495,-3.247
57,1.909,5.28,4.037,1.372,1.4,1.792,3.043,6.329,3.734,5.96,0.662,2.181,2.015,3.664,0.774,5.564,2.256,3.004,1.967,1.167,2.482,3.133,2.153,5.406,-0.72,0.885,0.957,3.554,-1.874,-0.445,0.46,-3.024
58,5.005,2.796,5.27,1.612,3.479,4.943,1.445,-0.98,0.189,-0.474,7.778,2.556,-0.67,4.025,-0.058,-0.847,-1.341,-0.635,4.116,0.484,1.707,-1.629,3.372,-0.978,0.399,7.937,-0.108,4.91,-0.091,-1.427,-1.47,5.635
59,3.971,2.616,4.189,2.529,5.452,4.89,2.305,0.78,1.031,0.329,-0.262,1.426,0.22,2.9,0.883,-0.052,-0.481,0.24,4.064,0.374,2.629,-0.711,6.296,-0.192,0.358,1.919,-0.085,0.786,1.984,-0.434,-2.495,-3.247
60,2.955,3.527,2.148,2.487,2.438,3.864,3.235,5.66,1.952,3.23,0.718,1.361,2.166,2.837,0.854,3.846,3.449,2.177,3.038,3.319,3.59,1.247,3.258,4.701,2.337,0.91,1.926,1.724,-0.978,-0.437,-1.507,-3.187
61,3.971,2.616,1.189,2.529,3.452,3.89,2.305,2.78,1.031,2.329,-0.262,0.426,3.22,3.9,7.883,1.948,1.519,1.24,4.064,0.374,1.629,0.289,3.296,2.808,0.358,-0.081,0.915,1.786,0.984,-0.434,-3.495,-3.247
62,1.971,4.616,4.189,1.529,1.452,2.89,4.305,2.78,3.031,1.329,1.738,6.426,2.22,2.9,-0.117,1.948,1.519,2.24,3.064,1.374,2.629,5.289,2.296,2.808,0.358,0.919,0.915,1.786,-0.016,1.566,-0.495,-3.247
63,4.971,3.616,4.189,1.529,2.452,3.89,2.305,1.78,1.031,1.329,0.738,2.426,1.22,2.9,0.883,1.948,0.519,1.24,4.064,1.374,3.629,7.289,3.296,2.808,-0.642,-0.081,1.915,1.786,-0.016,-0.434,-1.495,-3.247
64,2.971,4.616,2.189,2.529,2.452,3.89,3.305,4.78,7.031,1.329,0.738,1.426,3.22,4.9,-0.117,1.948,1.519,7.24,4.064,1.374,1.629,0.289,3.296,3.808,2.358,0.919,1.915,2.786,-2.016,0.566,3.505,-3.247
65,1.971,5.616,3.189,1.529,1.452,1.89,3.305,6.78,3.031,7.329,0.738,2.426,2.22,3.9,0.883,5.948,2.519,2.24,2.064,1.374,1.629,2.289,2.296,5.808,0.358,0.919,0.915,3.786,-2.016,-0.434,0.505,-3.247
66,1.971,3.616,5.189,2.529,1.452,2.89,4.305,3.78,7.031,0.329,1.738,4.426,0.22,3.9,-0.117,0.948,0.519,0.24,2.064,1.374,4.629,1.289,2.296,1.808,6.358,2.919,1.915,3.786,0.984,1.566,4.505,-3.247
67,2.971,3.616,2.189,2.529,2.452,3.89,2.305,4.78,3.031,5.329,-0.262,1.426,1.22,3.9,0.883,6.948,3.519,1.24,3.064,1.374,2.629,1.289,2.296,4.808,1.358,-0.081,0.915,2.786,-1.016,-0.434,0.505,-3.247
68,3.971,1.616,3.189,4.529,2.452,4.89,1.305,-0.22,1.031,-0.671,-0.262,0.426,0.22,1.9,-0.117,3.948,-0.481,0.24,3.064,0.374,2.629,4.289,4.296,0.808,0.358,1.919,2.915,2.786,-2.016,-2.434,-2.495,-3.247
69,3.971,3.616,2.189,5.529,3.452,3.89,2.305,0.78,1.031,3.329,-0.262,2.426,2.22,2.9,-0.117,-0.052,-0.481,0.24,4.064,2.374,1.629,-0.711,4.296,-0.192,-0.642,-0.081,0.915,1.786,0.984,1.566,-2.495,-3.247
70,-2.978,-3.108,-2.687,-2.343,-2.506,-3.029,-2.48,-1.851,-1.726,-1.369,-1.201,-2.374,-1.611,-2.908,-1.027,-1.737,-1.266,-1.568,-2.857,-1.457,-2.251,-1.584,-2.588,-1.863,-0.579,-1.053,-1.12,-2.024,-0.132,-0.424,0.543,1.571
71,-2.993,-3.193,-2.725,-2.383,-2.519,-3.054,-2.546,-1.965,-1.801,-1.462,-1.22,-2.435,-1.663,-2.967,-1.055,-1.834,-1.333,-1.627,-2.881,-1.509,-2.288,-1.623,-2.624,-1.965,-0.598,-1.062,-1.109,-2.082,-0.096,-0.427,0.531,1.627
72,-2.973,-3.081,-2.675,-2.33,-2.502,-3.021,-2.459,-1.815,-1.702,-1.339,-1.195,-2.354,-1.594,-2.889,-1.019,-1.706,-1.245,-1.549,-2.849,-1.44,-2.239,-1.572,-2.576,-1.831,-0.573,-1.05,-1.124,-2.005,-0.143,-0.423,0.546,1.553
73,-2.981,-3.125,-2.695,-2.351,-2.509,-3.034,-2.494,-1.875,-1.742,-1.388,-1.205,-2.387,-1.622,-2.92,-1.033,-1.757,-1.28,-1.58,-2.862,-1.468,-2.258,-1.592,-2.595,-1.884,-0.583,-1.055,-1.118,-2.036,-0.124,-0.425,0.54,1.583
74,-2.969,-3.063,-2.666,-2.322,-2.499,-3.016,-2.445,-1.791,-1.686,-1.319,-1.19,-2.341,-1.583,-2.876,-1.013,-1.686,-1.231,-1.536,-2.844,-1.429,-2.231,-1.563,-2.569,-1.809,-0.568,-1.048,-1.126,-1.993,-0.151,-0.422,0.549,1.541
75,-2.99,-3.173,-2.716,-2.373,-2.516,-3.048,-2.53,-1.938,-1.783,-1.44,-1.215,-2.421,-1.651,-2.953,-1.048,-1.811,-1.317,-1.613,-2.875,-1.497,-2.279,-1.614,-2.615,-1.941,-0.594,-1.06,-1.112,-2.068,-0.105,-0.426,0.534,1.614
76,-2.989,-3.17,-2.715,-2.372,-2.516,-3.047,-2.529,-1.935,-1.781,-1.438,-1.215,-2.419,-1.649,-2.951,-1.048,-1.808,-1.315,-1.612,-2.875,-1.495,-2.278,-1.613,-2.614,-1.938,-0.593,-1.059,-1.112,-2.067,-0.105,-0.426,0.534,1.613
77,-2.995,-3.204,-2.73,-2.388,-2.521,-3.057,-2.555,-1.98,-1.811,-1.474,-1.222,-2.444,-1.67,-2.975,-1.058,-1.847,-1.341,-1.635,-2.884,-1.516,-2.293,-1.629,-2.628,-1.978,-0.601,-1.063,-1.108,-2.09,-0.091,-0.427,0.53,1.635
78,-2.995,-3.2,-2.728,-2.386,-2.52,-3.056,-2.551,-1.974,-1.807,-1.47,-1.221,-2.44,-1.667,-2.972,-1.057,-1.842,-1.338,-1.632,-2.883,-1.513,-2.291,-1.627,-2.627,-1.973,-0.6,-1.062,-1.109,-2.087,-0.093,-0.427,0.53,1.632
79,-2.987,-3.157,-2.709,-2.366,-2.513,-3.043,-2.518,-1.917,-1.769,-1.423,-1.212,-2.409,-1.641,-2.942,-1.043,-1.793,-1.305,-1.602,-2.871,-1.487,-2.272,-1.607,-2.609,-1.922,-0.59,-1.058,-1.114,-2.058,-0.111,-0.426,0.536,1.604
80,-3.021,-3.341,-2.792,-2.452,-2.542,-3.097,-2.661,-2.163,-1.931,-1.624,-1.253,-2.543,-1.754,-3.071,-1.103,-2.003,-1.448,-1.731,-2.924,-1.6,-2.353,-1.692,-2.686,-2.141,-0.633,-1.077,-1.091,-2.184,-0.034,-0.432,0.511,1.725
81,-3.01,-3.283,-2.766,-2.424,-2.533,-3.08,-2.616,-2.085,-1.88,-1.561,-1.24,-2.501,-1.718,-3.03,-1.084,-1.936,-1.403,-1.69,-2.907,-1.564,-2.327,-1.665,-2.662,-2.072,-0.619,-1.071,-1.098,-2.144,-0.058,-0.43,0.519,1.687
82,-3.01,-3.285,-2.767,-2.425,-2.533,-3.081,-2.618,-2.088,-1.882,-1.563,-1.24,-2.502,-1.719,-3.031,-1.085,-1.939,-1.404,-1.692,-2.908,-1.566,-2.328,-1.666,-2.663,-2.074,-0.62,-1.071,-1.098,-2.146,-0.057,-0.43,0.519,1.688
83,-3.013,-3.298,-2.773,-2.432,-2.535,-3.085,-2.628,-2.106,-1.894,-1.578,-1.243,-2.512,-1.727,-3.041,-1.089,-1.954,-1.415,-1.701,-2.912,-1.574,-2.334,-1.672,-2.668,-2.09,-0.623,-1.072,-1.096,-2.155,-0.052,-0.431,0.517,1.697
84,-3.049,-3.494,-2.861,-2.523,-2.565,-3.142,-2.78,-2.368,-2.066,-1.792,-1.287,-2.654,-1.847,-3.177,-1.152,-2.177,-1.567,-1.837,-2.968,-1.694,-2.419,-1.762,-2.751,-2.323,-0.668,-1.092,-1.071,-2.289,0.031,-0.438,0.49,1.826
85,-3.042,-3.455,-2.844,-2.505,-2.559,-3.131,-2.751,-2.316,-2.032,-1.75,-1.278,-2.626,-1.824,-3.151,-1.14,-2.134,-1.537,-1.811,-2.957,-1.67,-2.403,-1.745,-2.735,-2.278,-0.659,-1.088,-1.076,-2.263,0.015,-0.436,0.496,1.801
86,-3.036,-3.426,-2.831,-2.491,-2.555,-3.122,-2.728,-2.277,-2.007,-1.718,-1.272,-2.605,-1.806,-3.13,-1.13,-2.1,-1.515,-1.79,-2.949,-1.652,-2.39,-1.731,-2.722,-2.243,-0.652,-1.085,-1.08,-2.243,0.002,-0.435,0.499,1.782
87,-3.029,-3.388,-2.813,-2.474,-2.549,-3.111,-2.698,-2.226,-1.973,-1.676,-1.263,-2.577,-1.782,-3.104,-1.118,-2.057,-1.485,-1.764,-2.938,-1.629,-2.373,-1.713,-2.706,-2.198,-0.643,-1.082,-1.085,-2.217,-0.014,-0.434,0.505,1.756
88,-3.078,-3.648,-2.931,-2.595,-2.589,-3.187,-2.901,-2.575,-2.202,-1.961,-1.322,-2.767,-1.942,-3.286,-1.202,-2.354,-1.688,-1.945,-3.013,-1.789,-2.487,-1.834,-2.816,-2.508,-0.703,-1.108,-1.052,-2.396,0.096,-0.443,0.469,1.928
89,-3.088,-3.704,-2.956,-2.621,-2.597,-3.204,-2.945,-2.65,-2.252,-2.023,-1.334,-2.807,-1.976,-3.325,-1.221,-2.418,-1.732,-1.985,-3.029,-1.823,-2.511,-1.859,-2.84,-2.575,-0.716,-1.114,-1.045,-2.435,0.119,-0.445,0.462,1.965
90,-3.061,-3.559,-2.89,-2.553,-2.575,-3.161,-2.831,-2.455,-2.123,-1.863,-1.301,-2.701,-1.887,-3.223,-1.173,-2.251,-1.618,-1.883,-2.987,-1.734,-2.448,-1.792,-2.778,-2.401,-0.683,-1.099,-1.063,-2.334,0.058,-0.44,0.482,1.869
91,-3.093,-3.734,-2.969,-2.635,-2.602,-3.212,-2.967,-2.689,-2.277,-2.055,-1.341,-2.829,-1.994,-3.345,-1.23,-2.451,-1.754,-2.005,-3.037,-1.841,-2.524,-1.873,-2.852,-2.61,-0.723,-1.117,-1.041,-2.455,0.132,-0.446,0.458,1.985
92,-3.099,-3.767,-2.984,-2.65,-2.607,-3.222,-2.994,-2.734,-2.307,-2.092,-1.348,-2.853,-2.014,-3.369,-1.241,-2.489,-1.781,-2.029,-3.047,-1.862,-2.539,-1.888,-2.866,-2.65,-0.731,-1.12,-1.037,-2.478,0.146,-0.447,0.453,2.007
93,-3.102,-3.781,-2.991,-2.657,-2.609,-3.226,-3.004,-2.752,-2.319,-2.107,-1.351,-2.863,-2.023,-3.378,-1.245,-2.505,-1.791,-2.038,-3.051,-1.87,-2.545,-1.895,-2.872,-2.666,-0.734,-1.122,-1.035,-2.487,0.152,-0.448,0.451,2.016
94,-3.085,-3.687,-2.948,-2.613,-2.595,-3.199,-2.931,-2.626,-2.236,-2.003,-1.33,-2.794,-1.965,-3.312,-1.215,-2.397,-1.718,-1.972,-3.024,-1.812,-2.504,-1.851,-2.832,-2.554,-0.712,-1.112,-1.047,-2.422,0.112,-0.444,0.464,1.954
95,-2.989,-3.168,-2.714,-2.371,-2.515,-3.046,-2.527,-1.932,-1.779,-1.435,-1.214,-2.418,-1.648,-2.95,-1.047,-1.806,-1.313,-1.61,-2.874,-1.494,-2.277,-1.612,-2.613,-1.935,-0.593,-1.059,-1.113,-2.065,-0.106,-0.426,0.535,1.611
96,-3.006,-3.262,-2.757,-2.415,-2.53,-3.074,-2.6,-2.058,-1.862,-1.538,-1.235,-2.486,-1.705,-3.016,-1.077,-1.913,-1.387,-1.676,-2.901,-1.552,-2.318,-1.655,-2.653,-2.048,-0.614,-1.069,-1.101,-2.13,-0.067,-0.429,0.522,1.673
97,-2.978,-3.11,-2.688,-2.344,-2.506,-3.029,-2.481,-1.854,-1.728,-1.371,-1.201,-2.375,-1.612,-2.909,-1.028,-1.739,-1.268,-1.569,-2.857,-1.458,-2.252,-1.585,-2.589,-1.866,-0.579,-1.053,-1.12,-2.025,-0.131,-0.424,0.542,1.573
